trial_number,metric,status,duration_sec,params,timestamp
0,0.649194,complete,1.18,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""zscore_per_query"", ""top_k_final"": 3, ""top_k_rerank"": 32, ""top_k_retriever"": 64, ""use_multiv"": true, ""use_sparse"": false, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T14:58:58.095731Z
1,0.517080,complete,2.72,"{""fusion_method"": ""weighted_sum"", ""rrf_k"": 60, ""score_normalization"": ""none"", ""top_k_final"": 1, ""top_k_rerank"": 64, ""top_k_retriever"": 64, ""use_multiv"": true, ""use_sparse"": true, ""w_dense"": 0.32137700036931305, ""w_multiv"": 0.5699585521777168, ""w_sparse"": 0.10866444745297019}",2026-01-07T14:59:02.228868Z
2,0.649194,complete,2.83,"{""fusion_method"": ""weighted_sum"", ""rrf_k"": 60, ""score_normalization"": ""minmax_per_query"", ""top_k_final"": 3, ""top_k_rerank"": 64, ""top_k_retriever"": 64, ""use_multiv"": false, ""use_sparse"": false, ""w_dense"": 0.46306098178097127, ""w_multiv"": 0.04703271878623042, ""w_sparse"": 0.4899062994327982}",2026-01-07T14:59:07.073320Z
0,0.517080,complete,2.08,"{""fusion_method"": ""weighted_sum"", ""rrf_k"": 60, ""score_normalization"": ""zscore_per_query"", ""top_k_final"": 1, ""top_k_rerank"": 32, ""top_k_retriever"": 64, ""use_multiv"": true, ""use_sparse"": false, ""w_dense"": 0.5237704265305585, ""w_multiv"": 0.3430323957788402, ""w_sparse"": 0.13319717769060127}",2026-01-07T14:59:42.218324Z
1,0.715776,complete,7.39,"{""fusion_method"": ""weighted_sum"", ""rrf_k"": 60, ""score_normalization"": ""none"", ""top_k_final"": 16, ""top_k_rerank"": 16, ""top_k_retriever"": 200, ""use_multiv"": false, ""use_sparse"": false, ""w_dense"": 0.3705900649083691, ""w_multiv"": 0.3817914510897519, ""w_sparse"": 0.24761848400187902}",2026-01-07T15:00:15.611877Z
2,nan,pruned,0.25,"{""fusion_method"": ""weighted_sum"", ""rrf_k"": 60, ""score_normalization"": ""zscore_per_query"", ""top_k_final"": 5, ""top_k_rerank"": 16, ""top_k_retriever"": 150, ""use_multiv"": false, ""use_sparse"": false, ""w_dense"": 0.6124248289969627, ""w_multiv"": 0.06244958893646093, ""w_sparse"": 0.3251255820665762}",2026-01-07T15:00:17.246446Z
3,0.649194,complete,2.74,"{""fusion_method"": ""weighted_sum"", ""rrf_k"": 60, ""score_normalization"": ""minmax_per_query"", ""top_k_final"": 3, ""top_k_rerank"": 100, ""top_k_retriever"": 150, ""use_multiv"": false, ""use_sparse"": false, ""w_dense"": 0.14580835957409016, ""w_multiv"": 0.30537073211973315, ""w_sparse"": 0.5488209083061767}",2026-01-07T15:00:21.853482Z
4,0.720310,complete,2.49,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""none"", ""top_k_final"": 20, ""top_k_rerank"": 32, ""top_k_retriever"": 32, ""use_multiv"": true, ""use_sparse"": false, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T15:00:25.510662Z
5,nan,pruned,0.32,"{""fusion_method"": ""weighted_sum"", ""rrf_k"": 60, ""score_normalization"": ""none"", ""top_k_final"": 5, ""top_k_rerank"": 64, ""top_k_retriever"": 100, ""use_multiv"": false, ""use_sparse"": false, ""w_dense"": 0.5029633578972555, ""w_multiv"": 0.07168163569754936, ""w_sparse"": 0.4253550064051951}",2026-01-07T15:00:27.754642Z
6,nan,pruned,0.34,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""none"", ""top_k_final"": 5, ""top_k_rerank"": 32, ""top_k_retriever"": 32, ""use_multiv"": true, ""use_sparse"": false, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T15:00:29.467528Z
